t,cpu_time,RBQpos_x,RBQpos_y,RBQpos_z,RBQvel_x,RBQvel_y,RBQvel_z,RBQroll,RBQpitch,RBQyaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,F_rh_x,F_rh_y,F_rh_z,F_lh_x,F_lh_y,F_lh_z,F_rf_x,F_rf_y,F_rf_z,F_lf_x,F_lf_y,F_lf_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,out_quat_w,out_quat_x,out_quat_y,out_quat_z,out_roll_deg,out_pitch_deg,out_yaw_deg,out_p_trunk_x,out_p_trunk_y,out_p_trunk_z,out_v_trunk_sf_x,out_v_trunk_sf_y,out_v_trunk_sf_z
0.040066,0.000256,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,-0,-0.00222221,-7.36923e-06,-2.03461,0.0431908,9.59227,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.78174,-1.80905,0.00610646,0.720233,-1.81016,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.00156206,0.0998464,-0.000387636,0.00949485,-0.000206996,0.589652,7.44555e-05,0.000448012,-0.36884
0.042074,0.000258,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,0,0,0,-2.0445,0.058125,9.61214,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.78174,-1.80905,0.00610646,0.720204,-1.81016,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.00164969,0.104557,-0.000389019,0.00949476,-0.00020699,0.588969,0.000224617,0.000444491,-0.367319
0.044065,0.000251,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,0,0,0,-2.06941,0.0730753,9.62715,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.78174,-1.80905,0.00610646,0.720204,-1.81016,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.0017699,0.109313,-0.000389261,0.00949474,-0.00020705,0.588297,0.000228496,0.000470538,-0.365799
0.046071,0.000273,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,0,0,0,-2.06941,0.0730753,9.62715,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.78174,-1.80905,0.00610646,0.720204,-1.81016,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.00188927,0.114065,-0.000389565,0.00949473,-0.000207103,0.587626,0.000232713,0.000496604,-0.364282
0.048075,0.000261,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,-0,-0.00111111,-3.68462e-06,-2.06938,0.063059,9.63206,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781711,-1.80905,0.00610646,0.720204,-1.81016,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.00198483,0.118684,-0.000391259,0.00949375,-0.000207117,0.58696,0.000165368,0.000503302,-0.362774
0.05007,0.000257,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,-6.4201e-06,3.68455e-06,-0.00111109,-2.05438,0.0530593,9.63194,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781711,-1.80905,0.00610646,0.720175,-1.81016,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.00205637,0.123393,-0.000520439,0.00949368,-0.000206983,0.586302,0.000252985,0.000521907,-0.361243
0.052067,0.00037,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,-0.00111109,-2.129e-08,6.42006e-06,-2.04952,0.0581413,9.60722,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781711,-1.80905,0.00610646,0.720175,-1.81016,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.00201332,0.1281,-0.000521387,0.00949361,-0.000206013,0.585649,0.000286208,0.000559195,-0.359781
0.054064,0.000254,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,0,0,0,-2.04972,0.053256,9.57262,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781711,-1.80905,0.00610646,0.720175,-1.81016,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.00208579,0.13282,-0.00052359,0.00949357,-0.000205997,0.585002,0.000304197,0.000501886,-0.358385
0.056075,0.00027,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,0,0,0,-2.04972,0.053256,9.57262,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781681,-1.80905,0.00610646,0.720175,-1.81016,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.00215787,0.137536,-0.000525799,0.00949354,-0.000205977,0.584354,0.000322102,0.000492475,-0.356987
0.05807,0.000254,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,0,0,0,-2.0297,0.0382401,9.5774,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781681,-1.80905,0.00610646,0.720175,-1.81016,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.00219583,0.142202,-0.000529506,0.00949342,-0.000205908,0.583717,0.000378968,0.000454967,-0.355586
0.060069,0.00025,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,0,0,0,-2.03464,0.0532071,9.58736,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781681,-1.80905,0.00610646,0.720175,-1.81016,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.00226785,0.14687,-0.000531572,0.00949332,-0.000205898,0.583084,0.000429062,0.000447967,-0.354162
0.062074,0.000257,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,0,0,0,-2.04961,0.0681904,9.59243,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781681,-1.80905,0.00610646,0.720175,-1.81016,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.00237344,0.151567,-0.000532041,0.00949327,-0.000205945,0.582453,0.000451769,0.000470586,-0.352722
0.064066,0.00029,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,0,0,0,-2.04961,0.0681904,9.59243,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781681,-1.80905,0.00610646,0.720175,-1.81016,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.00247881,0.15626,-0.00053253,0.00949322,-0.000205997,0.581832,0.000473838,0.000492581,-0.351281
0.066066,0.000336,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,0,0,0,-2.04958,0.0581741,9.59734,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781652,-1.80904,0.00610646,0.720145,-1.81016,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.00256097,0.160947,-0.000534201,0.00949317,-0.000206006,0.581212,0.000497728,0.000494976,-0.349831
0.068064,0.000244,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,0,0,0,-2.02978,0.0432892,9.56259,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781652,-1.80904,0.00610646,0.720145,-1.81016,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.00260981,0.165601,-0.000537548,0.00949307,-0.000205959,0.580599,0.000544369,0.000469218,-0.348454
0.070067,0.000233,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,0,0,0,-2.0297,0.0382401,9.5774,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781652,-1.80904,0.00610646,0.720145,-1.81016,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.00264704,0.170245,-0.000541455,0.00949296,-0.000205892,0.579988,0.000596248,0.00043466,-0.347046
0.072068,0.000242,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,0,0,0,-2.04955,0.0431578,9.60223,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781652,-1.80904,0.00610646,0.720145,-1.81016,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.00269463,0.174918,-0.000544786,0.00949291,-0.000205848,0.579383,0.000619353,0.000410784,-0.345582
0.074084,0.000229,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,0,0,0,-2.02955,0.0431581,9.60212,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781652,-1.80904,0.00610646,0.720145,-1.81016,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.00274333,0.179542,-0.000547954,0.00949279,-0.000205799,0.578777,0.000680574,0.000387821,-0.344125
0.076068,0.000226,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,0,0,0,-2.02955,0.0431581,9.60212,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471551,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781652,-1.80904,0.00610646,0.720145,-1.81016,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.00279214,0.184163,-0.000551068,0.00949265,-0.000205765,0.578187,0.000739049,0.000365945,-0.342667
